Hora,Presion,Temperatura,Media_Cuentas,Desviacion_Cuentas,Mediciones
2025-08-29 17:15:00,675.6,16.3,236.63,16.10,30
2025-08-29 17:20:00,675.7,16.1,230.13,13.49,30
2025-08-29 17:25:00,675.9,16.0,236.50,12.66,30
2025-08-29 17:30:00,675.7,16.1,241.33,16.35,30
2025-08-29 17:35:00,675.9,15.3,248.70,15.32,30
2025-08-29 17:40:00,676.1,15.3,251.37,15.46,30
2025-08-29 17:45:00,676.1,15.4,254.40,17.79,30
2025-08-29 17:50:00,676.0,15.3,252.63,16.71,30
2025-08-29 17:55:00,676.1,15.2,247.13,17.03,30
2025-08-29 18:00:00,676.1,15.2,238.53,13.86,30
2025-08-29 18:05:00,676.0,15.3,230.83,13.49,30
2025-08-29 18:10:00,676.2,14.8,230.07,17.53,30
2025-08-29 18:15:00,676.1,14.5,218.93,15.17,30
2025-08-29 18:20:00,676.1,14.5,215.53,14.97,30
2025-08-29 18:25:00,676.1,14.6,218.60,18.61,30
2025-08-29 18:30:00,676.2,14.5,230.83,16.69,30
2025-08-29 18:35:00,676.2,14.3,226.63,15.28,30
2025-08-29 18:40:00,676.2,14.0,232.93,15.49,30
2025-08-29 18:45:00,676.3,13.7,227.37,14.76,30
2025-08-29 18:50:00,676.4,13.2,224.10,18.95,30
2025-08-29 18:55:00,676.4,12.8,244.60,18.21,30
2025-08-29 19:00:00,676.6,12.6,251.13,16.23,30
2025-08-29 19:05:00,676.6,12.5,254.43,16.51,30
2025-08-29 19:10:00,676.7,12.4,269.30,21.13,30
2025-08-29 19:15:00,676.7,12.3,274.37,15.79,30
2025-08-29 19:20:00,676.6,12.1,282.53,18.43,30
2025-08-29 19:25:00,676.9,11.9,289.73,15.87,30
2025-08-29 19:30:00,676.9,11.8,280.40,14.60,30
2025-08-29 19:35:00,676.9,11.7,280.27,20.17,30
2025-08-29 19:40:00,677.1,11.5,261.03,15.31,30
2025-08-29 19:45:00,677.1,11.2,263.87,11.79,30
2025-08-29 19:50:00,677.3,11.0,252.73,13.57,30
2025-08-29 19:55:00,677.3,10.9,284.73,17.60,30
2025-08-29 20:00:00,677.3,10.6,319.83,28.80,30
2025-08-29 20:05:00,677.5,10.5,324.17,31.07,30
2025-08-29 20:10:00,677.5,10.1,306.43,18.43,30
2025-08-29 20:15:00,677.5,10.3,299.03,16.70,30
2025-08-29 20:20:00,677.6,10.3,291.20,15.87,30
2025-08-29 20:25:00,677.6,10.2,295.87,17.26,30
2025-08-29 20:30:00,677.7,10.4,288.57,19.56,30
2025-08-29 20:35:00,677.7,10.3,281.33,15.58,30
2025-08-29 20:40:00,677.9,10.2,275.23,17.07,30
2025-08-29 20:45:00,678.1,10.1,265.77,16.94,30
2025-08-29 20:50:00,678.0,10.0,262.43,14.38,30
2025-08-29 20:55:00,678.1,10.0,258.80,12.81,30
2025-08-29 21:00:00,678.2,10.0,262.83,15.22,30
2025-08-29 21:05:00,678.2,10.0,258.03,19.99,30
2025-08-29 21:10:00,678.5,10.1,257.00,16.95,30
2025-08-29 21:15:00,678.4,9.9,250.37,17.40,30
2025-08-29 21:20:00,678.8,9.9,244.70,13.04,30
2025-08-29 21:25:00,678.7,9.8,235.67,15.32,30
2025-08-29 21:30:00,678.7,9.7,238.63,15.30,30
2025-08-29 21:35:00,678.9,9.7,233.90,15.34,30
2025-08-29 21:40:00,678.9,9.7,228.83,16.37,30
2025-08-29 21:45:00,679.1,9.8,246.57,13.66,30
2025-08-29 21:50:00,679.2,9.7,249.53,13.23,30
2025-08-29 21:55:00,679.1,9.7,244.70,14.23,30
2025-08-29 22:00:00,679.2,9.7,236.67,16.84,30
2025-08-29 22:05:00,679.5,9.7,243.43,17.69,30
2025-08-29 22:10:00,679.2,9.7,245.37,18.41,30
2025-08-29 22:15:00,679.3,9.9,252.00,14.24,30
2025-08-29 22:20:00,679.3,10.0,245.67,13.29,30
2025-08-29 22:25:00,679.4,9.9,246.97,14.21,30
2025-08-29 22:30:00,679.5,9.9,247.13,15.49,30
2025-08-29 22:35:00,679.6,9.9,254.97,16.82,30
2025-08-29 22:40:00,679.5,9.8,259.83,14.02,30
2025-08-29 22:45:00,679.7,9.8,253.57,16.05,30
2025-08-29 22:50:00,679.8,9.9,258.23,18.98,30
